isr get called!
Received command: GET_LINKED_LIST
Sending 2418 linked list entries...
00:00:00 1297.00 0
00:00:01 1525.00 0
00:00:02 2294.00 0
00:00:03 2189.00 0
00:00:04 1208.00 0
00:00:05 1330.00 0
00:00:06 1090.00 0
00:00:07 1636.00 0
00:00:08 656.00 0
00:00:09 813.00 0
00:00:10 1324.00 0
00:00:11 1217.00 0
00:00:12 1035.00 0
00:00:13 1545.00 0
00:00:14 1602.00 0
00:00:15 1492.00 0
00:00:16 1505.00 0
00:00:17 1692.00 0
00:00:18 1419.00 0
00:00:19 1298.00 0
00:00:20 1589.00 0
00:00:21 1676.00 0
00:00:22 1531.00 0
00:00:23 451.00 0
00:00:24 334.00 0
00:00:25 816.00 0
00:00:26 949.00 0
00:00:27 909.00 0
00:00:28 1590.00 0
00:00:29 647.00 0
00:00:30 689.00 0
00:00:31 851.00 0
00:00:32 911.00 0
00:00:33 748.00 0
00:00:34 750.00 0
00:00:35 1120.00 0
00:00:36 1386.00 0
00:00:37 737.00 0
00:00:38 666.00 0
00:00:39 657.00 0
00:00:40 690.00 0
00:00:41 739.00 0
00:00:42 641.00 0
00:00:43 703.00 0
00:00:44 562.00 0
00:00:45 739.00 0
00:00:46 901.00 0
00:00:47 586.00 0
00:00:48 970.00 0
00:00:49 837.00 0
00:00:50 660.00 0
00:00:51 663.00 0
00:00:52 679.00 0
00:00:53 893.00 0
00:00:54 641.00 0
00:00:55 733.00 0
00:00:56 1088.00 0
00:00:57 556.00 0
00:00:58 578.00 0
00:00:59 1910.00 0
00:01:00 1782.00 0
00:01:01 1579.00 0
00:01:02 908.00 0
00:01:03 2248.00 0
00:01:04 1490.00 0
00:01:05 787.00 0
00:01:06 513.00 0
00:01:07 570.00 0
00:01:08 810.00 0
00:01:09 968.00 0
00:01:10 701.00 0
00:01:11 738.00 0
00:01:12 586.00 0
00:01:13 970.00 0
00:01:14 1060.00 0
00:01:15 748.00 0
00:01:16 967.00 0
00:01:17 716.00 0
00:01:18 731.00 0
00:01:19 823.00 0
00:01:20 740.00 0
00:01:21 941.00 0
00:01:22 603.00 0
00:01:23 737.00 0
00:01:24 616.00 0
00:01:25 661.00 0
00:01:26 679.00 0
00:01:27 719.00 0
00:01:28 714.00 0
00:01:29 780.00 0
00:01:30 737.00 0
00:01:31 676.00 0
00:01:32 676.00 0
00:01:33 630.00 0
00:01:34 802.00 0
00:01:35 1056.00 0
