isr get called!
Received command: GET_LINKED_LIST
Sending 62 linked list entries...
00:00:00 1021.00 0
00:00:01 930.00 0
00:00:02 1721.00 0
00:00:03 1192.00 0
00:00:04 1094.00 0
00:00:05 1121.00 0
00:00:06 1042.00 0
00:00:07 1053.00 0
00:00:08 1219.00 0
00:00:09 1070.00 0
00:00:10 594.00 0
00:00:11 680.00 0
00:00:12 695.00 0
00:00:13 717.00 0
00:00:14 733.00 0
00:00:15 706.00 0
00:00:16 760.00 0
00:00:17 710.00 0
00:00:18 720.00 0
00:00:19 695.00 0
00:00:20 690.00 0
00:00:21 701.00 0
00:00:22 707.00 0
00:00:23 706.00 0
00:00:24 716.00 0
00:00:25 728.00 0
00:00:26 730.00 0
00:00:27 501.00 0
00:00:28 354.00 0
00:00:29 581.00 0
00:00:30 712.00 0
00:00:31 1635.00 0
00:00:32 1069.00 0
00:00:33 2536.00 0
00:00:34 725.00 0
00:00:35 578.00 0
00:00:36 627.00 0
00:00:37 595.00 0
00:00:38 680.00 0
00:00:39 689.00 0
00:00:40 513.00 0
00:00:41 347.00 0
00:00:42 402.00 0
00:00:43 733.00 0
00:00:44 1453.00 0
00:00:45 657.00 0
00:00:46 618.00 0
00:00:47 631.00 0
00:00:48 760.00 0
00:00:49 2750.00 0
00:00:50 1148.00 0
00:00:51 472.00 0
00:00:52 732.00 0
00:00:53 1988.00 0
00:00:54 1805.00 0
00:00:55 1542.00 0
00:00:56 1805.00 0
00:00:57 900.00 0
00:00:58 1002.00 0
00:00:59 1161.00 0
00:01:00 1241.00 0
00:01:01 1055.00 0
