isr get called!
Received command: GET_LINKED_LIST
Sending 971 linked list entries...
00:00:00 812.00 0
00:00:01 762.00 0
00:00:02 1491.00 0
00:00:03 1704.00 0
00:00:04 1632.00 0
00:00:05 2737.00 0
00:00:06 2280.00 0
00:00:07 1466.00 0
00:00:08 1591.00 0
00:00:09 1861.00 0
00:00:10 2094.00 0
00:00:11 1143.00 0
00:00:12 1731.00 0
00:00:13 884.00 0
00:00:14 867.00 0
00:00:15 860.00 0
00:00:16 617.00 0
00:00:17 665.00 0
00:00:18 514.00 0
00:00:19 598.00 0
00:00:20 591.00 0
00:00:21 597.00 0
00:00:22 618.00 0
00:00:23 572.00 0
00:00:24 304.00 0
00:00:25 1440.00 0
00:00:26 1502.00 0
00:00:27 717.00 0
00:00:28 1353.00 0
00:00:29 813.00 0
00:00:30 1488.00 0
00:00:31 588.00 0
00:00:32 643.00 0
00:00:33 632.00 0
00:00:34 628.00 0
00:00:35 685.00 0
00:00:36 658.00 0
00:00:37 563.00 0
00:00:38 631.00 0
00:00:39 631.00 0
00:00:40 611.00 0
00:00:41 1418.00 0
00:00:42 587.00 0
00:00:43 453.00 0
00:00:44 676.00 0
00:00:45 667.00 0
00:00:46 540.00 0
00:00:47 665.00 0
00:00:48 636.00 0
00:00:49 835.00 0
00:00:50 1885.00 0
00:00:51 630.00 0
00:00:52 388.00 0
00:00:53 636.00 0
00:00:54 594.00 0
00:00:55 620.00 0
00:00:56 557.00 0
00:00:57 763.00 0
00:00:58 1654.00 0
00:00:59 1896.00 0
00:01:00 899.00 0
00:01:01 832.00 0
00:01:02 714.00 0
00:01:03 591.00 0
00:01:04 583.00 0
00:01:05 576.00 0
00:01:06 732.00 0
00:01:07 841.00 0
00:01:08 934.00 0
00:01:09 2084.00 0
00:01:10 1698.00 0
00:01:11 2281.00 0
00:01:12 1267.00 0
00:01:13 548.00 0
00:01:14 707.00 0
00:01:15 1141.00 0
00:01:16 1389.00 0
00:01:17 653.00 0
00:01:18 711.00 0
00:01:19 702.00 0
00:01:20 747.00 0
00:01:21 728.00 0
00:01:22 718.00 0
00:01:23 715.00 0
00:01:24 712.00 0
00:01:25 703.00 0
00:01:26 718.00 0
00:01:27 715.00 0
00:01:28 715.00 0
00:01:29 704.00 0
00:01:30 712.00 0
00:01:31 737.00 0
00:01:32 706.00 0
00:01:33 722.00 0
00:01:34 674.00 0
00:01:35 720.00 0
00:01:36 860.00 0
00:01:37 655.00 0
00:01:38 673.00 0
00:01:39 579.00 0
00:01:40 668.00 0
00:01:41 561.00 0
00:01:42 750.00 0
00:01:43 1667.00 0
00:01:44 1918.00 0
00:01:45 1900.00 0
00:01:46 2239.00 0
00:01:47 1865.00 0
00:01:48 1142.00 0
00:01:49 633.00 0
00:01:50 1076.00 0
00:01:51 2824.00 0
00:01:52 2234.00 0
00:01:53 1602.00 0
00:01:54 1515.00 0
00:01:55 1029.00 0
00:01:56 986.00 0
00:01:57 1090.00 0
00:01:58 959.00 0
00:01:59 613.00 0
00:02:00 804.00 0
00:02:01 1046.00 0
00:02:02 437.00 0
00:02:03 1214.00 0
00:02:04 502.00 0
00:02:05 910.00 0
00:02:06 2079.00 0
00:02:07 618.00 0
00:02:08 2963.00 0
00:02:09 1277.00 0
00:02:10 955.00 0
00:02:11 1604.00 0
00:02:12 2141.00 0
00:02:13 1003.00 0
00:02:14 773.00 0
00:02:15 746.00 0
00:02:16 560.00 0
00:02:17 912.00 0
00:02:18 689.00 0
00:02:19 712.00 0
00:02:20 727.00 0
00:02:21 997.00 0
00:02:22 552.00 0
00:02:23 1013.00 0
00:02:24 513.00 0
00:02:25 1161.00 0
00:02:26 383.00 0
00:02:27 2357.00 0
00:02:28 670.00 0
00:02:29 669.00 0
00:02:30 678.00 0
00:02:31 942.00 0
00:02:32 616.00 0
00:02:33 650.00 0
00:02:34 748.00 0
00:02:35 693.00 0
00:02:36 685.00 0
00:02:37 698.00 0
00:02:38 763.00 0
00:02:39 1222.00 0
00:02:40 862.00 0
00:02:41 822.00 0
00:02:42 617.00 0
00:02:43 608.00 0
00:02:44 1954.00 0
00:02:45 951.00 0
00:02:46 712.00 0
00:02:47 585.00 0
00:02:48 697.00 0
00:02:49 751.00 0
00:02:50 720.00 0
00:02:51 920.00 0
00:02:52 772.00 0
00:02:53 799.00 0
00:02:54 757.00 0
00:02:55 639.00 0
00:02:56 694.00 0
00:02:57 812.00 0
00:02:58 620.00 0
00:02:59 712.00 0
00:03:00 1120.00 0
00:03:01 693.00 0
00:03:02 620.00 0
00:03:03 664.00 0
00:03:04 725.00 0
00:03:05 671.00 0
00:03:06 706.00 0
00:03:07 717.00 0
00:03:08 1650.00 0
00:03:09 678.00 0
00:03:10 682.00 0
00:03:11 902.00 0
00:03:12 1273.00 0
00:03:13 2022.00 0
00:03:14 1259.00 0
00:03:15 363.00 0
00:03:16 1483.00 0
00:03:17 765.00 0
00:03:18 580.00 0
00:03:19 992.00 0
00:03:20 637.00 0
00:03:21 636.00 0
00:03:22 2556.00 0
00:03:23 965.00 0
00:03:24 1730.00 0
00:03:25 479.00 0
00:03:26 715.00 0
00:03:27 586.00 0
00:03:28 1330.00 0
00:03:29 802.00 0
00:03:30 523.00 0
00:03:31 628.00 0
00:03:32 612.00 0
00:03:33 721.00 0
00:03:34 707.00 0
00:03:35 707.00 0
00:03:36 729.00 0
00:03:37 696.00 0
00:03:38 683.00 0
00:03:39 726.00 0
00:03:40 701.00 0
00:03:41 727.00 0
00:03:42 712.00 0
00:03:43 2816.00 0
00:03:44 672.00 0
00:03:45 1015.00 0
00:03:46 674.00 0
00:03:47 771.00 0
00:03:48 712.00 0
00:03:49 897.00 0
00:03:50 738.00 0
00:03:51 846.00 0
00:03:52 818.00 0
00:03:53 704.00 0
00:03:54 877.00 0
00:03:55 929.00 0
00:03:56 718.00 0
00:03:57 685.00 0
00:03:58 685.00 0
00:03:59 586.00 0
00:04:00 619.00 0
00:04:01 881.00 0
00:04:02 558.00 0
00:04:03 1259.00 0
00:04:04 984.00 0
